2theta,Intensity
10,4
10.02,6
10.04,5
10.06,4
10.08,3
10.1,3
10.12,4
10.14,3
10.16,3
10.18,6
10.2,5
10.22,4
10.24,5
10.26,4
10.28,5
10.3,6
10.32,7
10.34,6
10.36,5
10.38,3
10.4,5
10.42,4
10.44,3
10.46,5
10.48,7
10.5,7
10.52,7
10.54,7
10.56,5
10.58,3
10.6,4
10.62,6
10.64,5
10.66,3
10.68,6
10.7,7
10.72,8
10.74,8
10.76,8
10.78,7
10.8,4
10.82,4
10.84,3
10.86,3
10.88,4
10.9,5
10.92,7
10.94,5
10.96,7
10.98,7
11,4
11.02,5
11.04,6
11.06,5
11.08,4
11.1,4
11.12,6
11.14,7
11.16,4
11.18,6
11.2,9
11.22,9
11.24,3
11.26,1
11.28,4
11.3,7
11.32,5
11.34,3
11.36,4
11.38,5
11.4,6
11.42,6
11.44,5
11.46,5
11.48,4
11.5,6
11.52,9
11.54,9
11.56,6
11.58,9
11.6,6
11.62,5
11.64,8
11.66,4
11.68,5
11.7,5
11.72,5
11.74,9
11.76,10
11.78,4
11.8,5
11.82,5
11.84,4
11.86,6
11.88,4
11.9,9
11.92,9
11.94,3
11.96,4
11.98,4
12,7
12.02,8
12.04,7
12.06,6
12.08,4
12.1,3
12.12,4
12.14,6
12.16,8
12.18,8
12.2,6
12.22,6
12.24,4
12.26,6
12.28,7
12.3,7
12.32,9
12.34,9
12.36,4
12.38,4
12.4,6
12.42,7
12.44,7
12.46,5
12.48,7
12.5,8
12.52,6
12.54,3
12.56,5
12.58,7
12.6,6
12.62,4
12.64,6
12.66,4
12.68,8
12.7,6
12.72,7
12.74,5
12.76,6
12.78,3
12.8,5
12.82,6
12.84,4
12.86,4
12.88,3
12.9,1
12.92,4
12.94,7
12.96,4
12.98,2
13,4
13.02,7
13.04,6
13.06,5
13.08,4
13.1,6
13.12,5
13.14,5
13.16,4
13.18,4
13.2,4
13.22,3
13.24,8
13.26,6
13.28,5
13.3,8
13.32,3
13.34,5
13.36,5
13.38,4
13.4,5
13.42,2
13.44,3
13.46,6
13.48,5
13.5,7
13.52,4
13.54,6
13.56,7
13.58,5
13.6,4
13.62,10
13.64,6
13.66,3
13.68,2
13.7,6
13.72,8
13.74,4
13.76,4
13.78,5
13.8,6
13.82,3
13.84,3
13.86,3
13.88,4
13.9,3
13.92,5
13.94,4
13.96,8
13.98,7
14,7
14.02,4
14.04,7
14.06,3
14.08,5
14.1,8
14.12,4
14.14,4
14.16,3
14.18,8
14.2,7
14.22,1
14.24,4
14.26,6
14.28,5
14.3,7
14.32,5
14.34,3
14.36,6
14.38,6
14.4,4
14.42,5
14.44,4
14.46,6
14.48,3
14.5,5
14.52,6
14.54,7
14.56,2
14.58,4
14.6,8
14.62,5
14.64,6
14.66,5
14.68,6
14.7,9
14.72,7
14.74,4
14.76,5
14.78,12
14.8,10
14.82,6
14.84,5
14.86,6
14.88,6
14.9,7
14.92,6
14.94,3
14.96,12
14.98,4
15,6
15.02,8
15.04,5
15.06,4
15.08,5
15.1,6
15.12,7
15.14,5
15.16,5
15.18,5
15.2,3
15.22,3
15.24,8
15.26,7
15.28,3
15.3,6
15.32,6
15.34,4
15.36,5
15.38,6
15.4,6
15.42,7
15.44,2
15.46,5
15.48,7
15.5,2
15.52,3
15.54,7
15.56,10
15.58,2
15.6,8
15.62,2
15.64,5
15.66,7
15.68,6
15.7,9
15.72,5
15.74,9
15.76,7
15.78,4
15.8,5
15.82,9
15.84,8
15.86,9
15.88,7
15.9,4
15.92,9
15.94,3
15.96,6
15.98,3
16,5
16.02,6
16.04,5
16.06,4
16.08,8
16.1,8
16.12,6
16.14,9
16.16,9
16.18,5
16.2,3
16.22,9
16.24,6
16.26,3
16.28,7
16.3,7
16.32,10
16.34,7
16.36,9
16.38,6
16.4,8
16.42,5
16.44,7
16.46,5
16.48,5
16.5,6
16.52,3
16.54,8
16.56,6
16.58,2
16.6,3
16.62,5
16.64,4
16.66,1
