2theta,Intensity
10,6.66667
10.02,6.66667
10.04,6
10.06,3.33333
10.08,3.33333
10.1,4.66667
10.12,4
10.14,4.66667
10.16,5.33333
10.18,6
10.2,5.33333
10.22,5.33333
10.24,6.66667
10.26,5.33333
10.28,5.33333
10.3,4.66667
10.32,3.33333
10.34,4.66667
10.36,7.33333
10.38,6.66667
10.4,4
10.42,2
10.44,4
10.46,4.66667
10.48,3.33333
10.5,4
10.52,4.66667
10.54,4.66667
10.56,5.33333
10.58,6
10.6,5.33333
10.62,5.33333
10.64,4.66667
10.66,4
10.68,2.66667
10.7,4.66667
10.72,4
10.74,4
10.76,4
10.78,4
10.8,6
10.82,4
10.84,2.66667
10.86,4
10.88,6
10.9,6
10.92,4.66667
10.94,6
10.96,6.66667
10.98,4.66667
11,4.66667
11.02,4.66667
11.04,7.33333
11.06,7.33333
11.08,4
11.1,5.33333
11.12,8
11.14,8
11.16,5.33333
11.18,6.66667
11.2,8
11.22,7.33333
11.24,8.66667
11.26,8
11.28,5.33333
11.3,8
11.32,8
11.34,6.66667
11.36,5.33333
11.38,6
11.4,8
11.42,8.66667
11.44,8.66667
11.46,4.66667
11.48,2
11.5,4.66667
11.52,4.66667
11.54,6.66667
11.56,8
11.58,6.66667
11.6,6
11.62,4.66667
11.64,4
11.66,4
11.68,4.66667
11.7,7.33333
11.72,9.33333
11.74,6
11.76,4.66667
11.78,7.33333
11.8,8
11.82,6
11.84,8
11.86,8
11.88,5.33333
11.9,3.33333
11.92,3.33333
11.94,7.33333
11.96,9.33333
11.98,6.66667
12,7.33333
12.02,6.66667
12.04,6.66667
12.06,6
12.08,5.33333
12.1,4.66667
12.12,2.66667
12.14,4
12.16,6
12.18,6
12.2,6.66667
12.22,10
12.24,8.66667
12.26,6.66667
12.28,6.66667
12.3,6.66667
12.32,9.33333
12.34,8
12.36,11.3333
12.38,9.33333
12.4,10
12.42,7.33333
12.44,8
12.46,4.66667
12.48,9.33333
12.5,8
12.52,8
12.54,12
12.56,4.66667
12.58,6
12.6,8
12.62,8
12.64,9.33333
12.66,6
12.68,4.66667
12.7,5.33333
12.72,6
12.74,8.66667
12.76,10.6667
12.78,8.66667
12.8,6.66667
12.82,9.33333
12.84,7.33333
12.86,9.33333
12.88,9.33333
12.9,8
12.92,10
12.94,6
12.96,6
12.98,7.33333
13,7.33333
13.02,8.66667
13.04,4.66667
13.06,5.33333
13.08,6.66667
13.1,11.3333
13.12,6
13.14,10
13.16,10
13.18,10.6667
13.2,7.33333
13.22,8.66667
13.24,8
13.26,5.33333
13.28,6
13.3,8
13.32,8.66667
13.34,6
13.36,4.66667
13.38,8.66667
13.4,7.33333
13.42,9.33333
13.44,12
13.46,12.6667
13.48,7.33333
13.5,8
13.52,6.66667
13.54,6
13.56,6
13.58,4.66667
13.6,7.33333
13.62,8.66667
13.64,9.33333
13.66,10.6667
13.68,6.66667
13.7,6.66667
13.72,6
13.74,6.66667
13.76,4.66667
13.78,4.66667
13.8,8
13.82,6.66667
13.84,7.33333
13.86,6
13.88,7.33333
13.9,5.33333
13.92,11.3333
13.94,8.66667
13.96,6
13.98,8
14,9.33333
14.02,9.33333
14.04,8
14.06,8.66667
14.08,10
14.1,7.33333
14.12,4
14.14,7.33333
14.16,10
14.18,6.66667
14.2,9.33333
14.22,8.66667
14.24,9.33333
14.26,6
14.28,9.33333
14.3,10.6667
14.32,10.6667
14.34,8
14.36,8.66667
14.38,8.66667
14.4,6.66667
14.42,8
14.44,13.3333
14.46,8
14.48,4.66667
14.5,6.66667
14.52,12.6667
14.54,6
14.56,8
14.58,8
14.6,4
14.62,8
14.64,5.33333
14.66,9.33333
14.68,7.33333
14.7,6.66667
14.72,8.66667
14.74,7.33333
14.76,12
14.78,12.6667
14.8,6.66667
14.82,8
14.84,4.66667
14.86,8
14.88,5.33333
14.9,6
14.92,8
14.94,10
14.96,9.33333
14.98,10.6667
15,9.33333
15.02,5.33333
15.04,4
15.06,10.6667
15.08,7.33333
15.1,4
15.12,4.66667
15.14,8.66667
15.16,10
15.18,8.66667
15.2,8
15.22,7.33333
15.24,5.33333
15.26,5.33333
15.28,6
15.3,3.33333
15.32,10.6667
