2theta,Intensity
10,5.33333
10.02,6.66667
10.04,6
10.06,4
10.08,3.33333
10.1,2.66667
10.12,4
10.14,4.66667
10.16,4
10.18,2.66667
10.2,4
10.22,6.66667
10.24,5.33333
10.26,4
10.28,6.66667
10.3,4.66667
10.32,5.33333
10.34,4.66667
10.36,4
10.38,6
10.4,7.33333
10.42,6
10.44,5.33333
10.46,7.33333
10.48,7.33333
10.5,4
10.52,6
10.54,8
10.56,5.33333
10.58,3.33333
10.6,4.66667
10.62,6.66667
10.64,8.66667
10.66,7.33333
10.68,6
10.7,5.33333
10.72,2.66667
10.74,4
10.76,5.33333
10.78,6
10.8,6
10.82,6
10.84,6
10.86,7.33333
10.88,6
10.9,4.66667
10.92,5.33333
10.94,4.66667
10.96,4.66667
10.98,8.66667
11,9.33333
11.02,5.33333
11.04,4
11.06,5.33333
11.08,5.33333
11.1,7.33333
11.12,6.66667
11.14,4.66667
11.16,4.66667
11.18,7.33333
11.2,7.33333
11.22,5.33333
11.24,4.66667
11.26,4
11.28,7.33333
11.3,5.33333
11.32,4
11.34,8
11.36,7.33333
11.38,4
11.4,6.66667
11.42,8.66667
11.44,7.33333
11.46,8.66667
11.48,6.66667
11.5,4.66667
11.52,6.66667
11.54,8
11.56,8
11.58,8
11.6,4
11.62,3.33333
11.64,6
11.66,6.66667
11.68,6
11.7,5.33333
11.72,6
11.74,5.33333
11.76,2.66667
11.78,6.66667
11.8,7.33333
11.82,6
11.84,4.66667
11.86,7.33333
11.88,7.33333
11.9,6
11.92,5.33333
11.94,4.66667
11.96,3.33333
11.98,4
12,3.33333
12.02,4
12.04,6
12.06,4.66667
12.08,4
12.1,5.33333
12.12,6.66667
12.14,7.33333
12.16,10
12.18,6.66667
12.2,3.33333
12.22,5.33333
12.24,5.33333
12.26,6
12.28,4.66667
12.3,3.33333
12.32,3.33333
12.34,7.33333
12.36,6.66667
12.38,5.33333
12.4,6.66667
12.42,6.66667
12.44,5.33333
12.46,4.66667
12.48,5.33333
12.5,8.66667
12.52,5.33333
12.54,8
12.56,6.66667
12.58,8
12.6,4.66667
12.62,5.33333
12.64,8
12.66,6
12.68,9.33333
12.7,6.66667
12.72,8
12.74,6
12.76,8
12.78,7.33333
12.8,6
12.82,6.66667
12.84,4
12.86,6.66667
12.88,7.33333
12.9,4
12.92,4.66667
12.94,6
12.96,7.33333
12.98,7.33333
13,6.66667
13.02,5.33333
13.04,4.66667
13.06,4
13.08,6
13.1,6.66667
13.12,2.66667
13.14,3.33333
13.16,2.66667
13.18,4.66667
13.2,6.66667
13.22,9.33333
13.24,9.33333
13.26,7.33333
13.28,6
13.3,10
13.32,6.66667
13.34,4.66667
13.36,6.66667
13.38,5.33333
13.4,4.66667
13.42,7.33333
13.44,6
13.46,6.66667
13.48,5.33333
13.5,4.66667
13.52,2
13.54,4.66667
13.56,3.33333
13.58,6
13.6,5.33333
13.62,8
13.64,7.33333
13.66,9.33333
13.68,7.33333
13.7,3.33333
13.72,7.33333
13.74,4
13.76,8
13.78,7.33333
13.8,5.33333
13.82,4.66667
13.84,7.33333
13.86,4.66667
13.88,7.33333
13.9,7.33333
13.92,5.33333
13.94,6.66667
13.96,5.33333
13.98,4.66667
14,7.33333
14.02,7.33333
14.04,7.33333
14.06,4
14.08,7.33333
14.1,8
14.12,8.66667
14.14,6
14.16,5.33333
14.18,8.66667
14.2,8
14.22,6.66667
14.24,2
14.26,4
14.28,3.33333
14.3,6.66667
14.32,5.33333
14.34,9.33333
14.36,8
14.38,6
14.4,5.33333
14.42,8
14.44,10.6667
14.46,8.66667
14.48,8
14.5,6.66667
14.52,7.33333
14.54,4
14.56,7.33333
14.58,5.33333
14.6,3.33333
14.62,7.33333
14.64,4
14.66,7.33333
14.68,5.33333
14.7,2.66667
14.72,4
14.74,6
14.76,6
14.78,4.66667
14.8,4.66667
14.82,10
14.84,9.33333
14.86,6.66667
14.88,2.66667
14.9,2.66667
14.92,3.33333
14.94,3.33333
14.96,5.33333
14.98,4
15,8.66667
15.02,4
15.04,3.33333
15.06,8
15.08,4.66667
15.1,4.66667
15.12,4.66667
15.14,7.33333
15.16,6
15.18,4
15.2,5.33333
15.22,6
15.24,8
15.26,7.33333
15.28,6.66667
15.3,4.66667
15.32,5.33333
15.34,8
15.36,6
15.38,7.33333
15.4,9.33333
15.42,5.33333
15.44,8.66667
15.46,11.3333
15.48,8.66667
15.5,10
15.52,7.33333
15.54,5.33333
15.56,6
15.58,3.33333
15.6,8.66667
15.62,11.3333
15.64,7.33333
15.66,10
15.68,6
15.7,8
15.72,12.6667
15.74,15.3333
15.76,10.6667
15.78,19.3333
15.8,16
15.82,16
15.84,20.6667
15.86,20.6667
15.88,10
15.9,17.3333
15.92,18.6667
15.94,23.3333
15.96,20
15.98,16
16,16.6667
16.02,11.3333
16.04,8.66667
16.06,3.33333
16.08,6.66667
16.1,10
16.12,5.33333
16.14,6.66667
16.16,9.33333
16.18,8.66667
16.2,6.66667
16.22,4
16.24,5.33333
16.26,6.66667
16.28,10
16.3,8
16.32,6
16.34,6
16.36,5.33333
16.38,6.66667
16.4,5.33333
16.42,6
16.44,5.33333
16.46,6
16.48,4.66667
16.5,6.66667
16.52,6.66667
16.54,9.33333
16.56,7.33333
16.58,4.66667
16.6,6.66667
16.62,4
16.64,7.33333
16.66,5.33333
16.68,8
16.7,6
16.72,4
16.74,4.66667
16.76,8
16.78,6.66667
16.8,5.33333
16.82,5.33333
16.84,4.66667
16.86,10
16.88,10.6667
16.9,6.66667
16.92,5.33333
16.94,4
16.96,6
16.98,8.66667
17,5.33333
17.02,6.66667
17.04,5.33333
17.06,8.66667
17.08,6
17.1,5.33333
17.12,4.66667
17.14,6
17.16,8
17.18,7.33333
17.2,10.6667
17.22,8.66667
17.24,10
17.26,8.66667
17.28,6
17.3,6.66667
17.32,7.33333
17.34,9.33333
17.36,9.33333
17.38,12
17.4,10.6667
17.42,13.3333
17.44,8.66667
17.46,10.6667
17.48,16
17.5,10.6667
17.52,10
17.54,9.33333
17.56,10
17.58,12
17.6,11.3333
17.62,10
17.64,9.33333
17.66,8.66667
17.68,9.33333
17.7,12
17.72,12.6667
17.74,12.6667
17.76,15.3333
17.78,13.3333
17.8,14
17.82,18
17.84,22
17.86,24.6667
17.88,30
17.9,28.6667
17.92,37.3333
17.94,42
17.96,43.3333
17.98,51.3333
18,54
18.02,54.6667
18.04,56
18.06,56
18.08,45.3333
18.1,38.6667
18.12,31.3333
18.14,24.6667
18.16,15.3333
18.18,12.6667
18.2,10
18.22,12
18.24,12.6667
18.26,10
18.28,10
18.3,9.33333
18.32,9.33333
18.34,8.66667
18.36,9.33333
18.38,9.33333
18.4,6
18.42,6.66667
18.44,8.66667
18.46,6.66667
18.48,6
18.5,6.66667
18.52,8.66667
18.54,6.66667
18.56,4.66667
18.58,6.66667
18.6,6.66667
18.62,6
18.64,6.66667
18.66,6
18.68,7.33333
18.7,6
18.72,4.66667
18.74,8
18.76,7.33333
18.78,8.66667
18.8,10.6667
18.82,8.66667
18.84,6.66667
18.86,7.33333
18.88,5.33333
18.9,4.66667
18.92,4
18.94,4.66667
18.96,4.66667
18.98,5.33333
19,8.66667
19.02,6
19.04,7.33333
19.06,8.66667
19.08,9.33333
19.1,8
19.12,5.33333
19.14,4.66667
19.16,6
19.18,8
19.2,7.33333
19.22,4.66667
19.24,4
19.26,4.66667
19.28,4.66667
19.3,8.66667
19.32,7.33333
19.34,5.33333
19.36,4
19.38,5.33333
19.4,6
19.42,4
19.44,4
19.46,4
19.48,5.33333
19.5,8
19.52,8
