2theta,Intensity
10,7
10.02,7
10.04,5
10.06,5
10.08,4
10.1,5
10.12,4
10.14,5
10.16,6
10.18,8
10.2,5
10.22,2
10.24,5
10.26,4
10.28,3
10.3,5
10.32,5
10.34,6
10.36,10
10.38,6
10.4,4
10.42,4
10.44,5
10.46,8
10.48,7
10.5,10
10.52,8
10.54,4
10.56,6
10.58,8
10.6,6
10.62,4
10.64,4
10.66,8
10.68,9
10.7,5
10.72,4
10.74,6
10.76,7
10.78,6
10.8,5
10.82,7
10.84,8
10.86,5
10.88,3
10.9,4
10.92,4
10.94,4
10.96,4
10.98,6
11,7
11.02,7
11.04,7
11.06,6
11.08,7
11.1,8
11.12,5
11.14,6
11.16,13
11.18,14
11.2,11
11.22,10
11.24,4
11.26,4
11.28,4
11.3,5
11.32,6
11.34,10
11.36,10
11.38,4
11.4,7
11.42,11
11.44,10
11.46,9
11.48,7
11.5,7
11.52,9
11.54,8
11.56,8
11.58,6
11.6,6
11.62,3
11.64,3
11.66,7
11.68,3
11.7,4
11.72,7
11.74,6
11.76,4
11.78,6
11.8,9
11.82,6
11.84,7
11.86,8
11.88,7
11.9,4
11.92,2
11.94,6
11.96,8
11.98,8
12,6
12.02,7
12.04,8
12.06,7
12.08,8
12.1,10
12.12,6
12.14,4
12.16,5
12.18,8
12.2,7
12.22,11
12.24,9
12.26,6
12.28,6
12.3,14
12.32,15
12.34,8
12.36,10
12.38,6
12.4,6
12.42,8
12.44,8
12.46,6
12.48,8
12.5,8
12.52,11
12.54,6
12.56,10
12.58,10
12.6,6
12.62,4
12.64,4
12.66,6
12.68,8
12.7,9
12.72,9
12.74,7
12.76,4
12.78,6
12.8,7
12.82,10
12.84,11
12.86,7
12.88,6
12.9,7
12.92,5
12.94,9
12.96,10
12.98,7
13,6
13.02,4
13.04,3
13.06,11
13.08,6
13.1,8
13.12,3
13.14,6
13.16,9
13.18,9
13.2,7
13.22,8
13.24,5
13.26,4
13.28,10
13.3,11
13.32,7
13.34,8
13.36,8
13.38,11
13.4,8
13.42,8
13.44,6
13.46,7
13.48,6
13.5,4
13.52,9
13.54,9
13.56,6
13.58,8
13.6,5
13.62,7
13.64,8
13.66,10
13.68,6
13.7,9
13.72,5
13.74,9
13.76,10
13.78,2
13.8,6
13.82,8
13.84,4
13.86,10
13.88,9
13.9,7
13.92,10
13.94,6
13.96,8
13.98,15
14,5
14.02,7
14.04,11
14.06,10
14.08,9
14.1,6
14.12,12
14.14,6
14.16,6
14.18,8
14.2,9
14.22,14
14.24,6
14.26,7
14.28,12
14.3,7
14.32,8
14.34,7
14.36,6
14.38,9
14.4,9
14.42,11
14.44,7
14.46,8
14.48,4
14.5,7
14.52,14
14.54,11
14.56,8
14.58,11
14.6,7
14.62,7
14.64,3
14.66,9
14.68,6
14.7,9
14.72,12
14.74,4
14.76,12
14.78,13
14.8,16
14.82,12
14.84,10
14.86,8
14.88,7
14.9,13
14.92,12
14.94,10
14.96,11
14.98,7
15,12
15.02,8
15.04,6
15.06,9
15.08,7
15.1,13
15.12,14
15.14,11
15.16,8
15.18,10
15.2,12
15.22,15
15.24,14
15.26,6
15.28,8
15.3,8
15.32,8
15.34,9
15.36,14
15.38,10
15.4,8
15.42,8
15.44,8
15.46,7
15.48,8
15.5,11
15.52,6
15.54,15
15.56,13
15.58,7
15.6,8
15.62,10
15.64,9
15.66,10
15.68,12
15.7,5
15.72,10
15.74,13
15.76,13
15.78,10
15.8,5
15.82,14
15.84,9
15.86,7
15.88,12
15.9,9
15.92,9
15.94,18
15.96,18
15.98,9
16,15
16.02,8
16.04,7
16.06,9
16.08,12
16.1,10
16.12,13
16.14,9
16.16,10
16.18,13
16.2,14
16.22,6
16.24,12
16.26,9
16.28,15
