2theta,Intensity
10,6.66667
10.02,8.33333
10.04,5.83333
10.06,6.66667
10.08,8.33333
10.1,6.66667
10.12,5
10.14,4.16667
10.16,4.16667
10.18,5
10.2,4.16667
10.22,5
10.24,4.16667
10.26,3.33333
10.28,4.16667
10.3,3.33333
10.32,5
10.34,5
10.36,4.16667
10.38,4.16667
10.4,5
10.42,5
10.44,2.5
10.46,4.16667
10.48,4.16667
10.5,4.16667
10.52,3.33333
10.54,5
10.56,6.66667
10.58,4.16667
10.6,6.66667
10.62,7.5
10.64,3.33333
10.66,5
10.68,7.5
10.7,5
10.72,5
10.74,6.66667
10.76,7.5
10.78,6.66667
10.8,4.16667
10.82,2.5
10.84,6.66667
10.86,7.5
10.88,7.5
10.9,9.16667
10.92,7.5
10.94,5.83333
10.96,10
10.98,8.33333
11,5
11.02,8.33333
11.04,6.66667
11.06,5
11.08,5.83333
11.1,5.83333
11.12,5.83333
11.14,7.5
11.16,5.83333
11.18,4.16667
11.2,4.16667
11.22,3.33333
11.24,4.16667
11.26,5
11.28,6.66667
11.3,10
11.32,6.66667
11.34,4.16667
11.36,4.16667
11.38,4.16667
11.4,4.16667
11.42,3.33333
11.44,4.16667
11.46,3.33333
11.48,5
11.5,5.83333
11.52,5.83333
11.54,8.33333
11.56,3.33333
11.58,4.16667
11.6,7.5
11.62,6.66667
11.64,4.16667
11.66,4.16667
11.68,3.33333
11.7,5.83333
11.72,4.16667
11.74,4.16667
11.76,5
11.78,5
11.8,3.33333
11.82,5
11.84,9.16667
11.86,5.83333
11.88,4.16667
11.9,5.83333
11.92,8.33333
11.94,5
11.96,6.66667
11.98,4.16667
12,2.5
12.02,5
12.04,6.66667
12.06,3.33333
12.08,2.5
12.1,4.16667
12.12,5.83333
12.14,4.16667
12.16,2.5
12.18,3.33333
12.2,6.66667
12.22,5
12.24,3.33333
12.26,5
12.28,6.66667
12.3,9.16667
12.32,8.33333
12.34,5
12.36,4.16667
12.38,7.5
12.4,5
12.42,3.33333
12.44,5.83333
12.46,5
12.48,6.66667
12.5,10.8333
12.52,10.8333
12.54,6.66667
12.56,5
12.58,5
12.6,7.5
12.62,9.16667
12.64,8.33333
12.66,7.5
12.68,9.16667
12.7,9.16667
12.72,14.1667
12.74,7.5
12.76,6.66667
12.78,8.33333
12.8,9.16667
12.82,9.16667
12.84,7.5
12.86,8.33333
12.88,7.5
12.9,9.16667
12.92,9.16667
12.94,7.5
12.96,9.16667
12.98,7.5
13,8.33333
13.02,5.83333
13.04,10.8333
13.06,11.6667
13.08,9.16667
13.1,10
13.12,15
13.14,15.8333
13.16,12.5
13.18,11.6667
13.2,16.6667
13.22,21.6667
13.24,23.3333
13.26,25.8333
13.28,20.8333
13.3,25
13.32,22.5
13.34,17.5
13.36,18.3333
13.38,15.8333
13.4,10.8333
13.42,8.33333
13.44,5
13.46,7.5
13.48,7.5
13.5,7.5
13.52,8.33333
13.54,10
13.56,7.5
13.58,10.8333
13.6,8.33333
13.62,5.83333
13.64,8.33333
13.66,8.33333
13.68,10
13.7,10.8333
13.72,8.33333
13.74,11.6667
13.76,8.33333
13.78,5
13.8,3.33333
13.82,4.16667
13.84,6.66667
13.86,5
13.88,8.33333
13.9,5
13.92,5
13.94,6.66667
13.96,9.16667
13.98,5.83333
14,7.5
14.02,5.83333
14.04,6.66667
14.06,7.5
14.08,8.33333
14.1,5.83333
14.12,7.5
14.14,5
14.16,5.83333
14.18,6.66667
14.2,7.5
14.22,4.16667
14.24,5
14.26,10
14.28,11.6667
14.3,8.33333
14.32,3.33333
14.34,4.16667
14.36,7.5
14.38,4.16667
14.4,6.66667
14.42,5
14.44,4.16667
14.46,6.66667
14.48,2.5
14.5,5
14.52,6.66667
14.54,3.33333
14.56,5.83333
14.58,3.33333
14.6,5
14.62,9.16667
14.64,5
14.66,4.16667
14.68,4.16667
14.7,1.66667
14.72,5.83333
14.74,2.5
14.76,2.5
14.78,10
14.8,7.5
14.82,3.33333
14.84,5.83333
14.86,6.66667
14.88,6.66667
14.9,2.5
14.92,2.5
14.94,8.33333
14.96,7.5
14.98,2.5
15,6.66667
15.02,8.33333
15.04,2.5
15.06,4.16667
15.08,10
15.1,5.83333
15.12,7.5
15.14,9.16667
15.16,8.33333
15.18,5
15.2,3.33333
15.22,2.5
15.24,5.83333
15.26,7.5
15.28,7.5
15.3,4.16667
15.32,5.83333
15.34,6.66667
15.36,6.66667
15.38,1.66667
15.4,12.5
15.42,4.16667
15.44,11.6667
15.46,8.33333
15.48,5
15.5,8.33333
15.52,6.66667
15.54,5.83333
15.56,9.16667
15.58,7.5
15.6,5
15.62,8.33333
15.64,7.5
15.66,10.8333
15.68,5.83333
15.7,8.33333
15.72,7.5
15.74,5.83333
15.76,7.5
15.78,7.5
15.8,7.5
15.82,8.33333
15.84,5.83333
15.86,6.66667
15.88,4.16667
15.9,7.5
15.92,3.33333
15.94,4.16667
15.96,6.66667
15.98,5
16,8.33333
16.02,10
16.04,11.6667
16.06,13.3333
16.08,6.66667
16.1,4.16667
16.12,13.3333
16.14,10
16.16,12.5
16.18,10
16.2,9.16667
16.22,4.16667
16.24,6.66667
16.26,8.33333
16.28,10.8333
16.3,9.16667
16.32,10
16.34,8.33333
16.36,10.8333
16.38,8.33333
16.4,7.5
16.42,8.33333
16.44,10.8333
16.46,10.8333
16.48,6.66667
16.5,6.66667
16.52,14.1667
16.54,9.16667
16.56,10
16.58,11.6667
16.6,10.8333
16.62,13.3333
16.64,12.5
16.66,11.6667
16.68,11.6667
16.7,12.5
16.72,15
16.74,14.1667
16.76,15.8333
16.78,15
16.8,20.8333
16.82,27.5
16.84,26.6667
16.86,32.5
16.88,33.3333
16.9,39.1667
16.92,48.3333
16.94,46.6667
16.96,52.5
16.98,44.1667
17,45
17.02,47.5
17.04,28.3333
17.06,24.1667
17.08,23.3333
17.1,16.6667
17.12,10.8333
17.14,12.5
17.16,15.8333
17.18,11.6667
17.2,14.1667
17.22,16.6667
17.24,15
17.26,10
17.28,7.5
17.3,12.5
17.32,20
17.34,14.1667
17.36,12.5
17.38,17.5
17.4,15
17.42,11.6667
17.44,11.6667
17.46,12.5
17.48,12.5
17.5,16.6667
17.52,20
17.54,20
17.56,15.8333
17.58,11.6667
17.6,15
17.62,15.8333
17.64,20
17.66,16.6667
17.68,15
17.7,23.3333
17.72,20
17.74,16.6667
17.76,20.8333
17.78,25.8333
17.8,27.5
17.82,32.5
17.84,35.8333
17.86,44.1667
17.88,45
17.9,55.8333
17.92,72.5
17.94,82.5
17.96,85
17.98,93.3333
18,101.667
18.02,100
18.04,83.3333
18.06,76.6667
18.08,65.8333
18.1,50
18.12,38.3333
18.14,30
18.16,21.6667
18.18,19.1667
18.2,14.1667
18.22,15.8333
18.24,14.1667
18.26,16.6667
18.28,14.1667
18.3,15
18.32,11.6667
18.34,15
18.36,15.8333
18.38,9.16667
18.4,10.8333
18.42,13.3333
18.44,10.8333
18.46,13.3333
18.48,15
18.5,8.33333
18.52,7.5
18.54,10
18.56,12.5
18.58,10
18.6,14.1667
18.62,15.8333
18.64,12.5
18.66,12.5
18.68,14.1667
18.7,13.3333
18.72,10
18.74,13.3333
18.76,15
18.78,10.8333
18.8,10.8333
18.82,11.6667
18.84,10.8333
18.86,14.1667
18.88,13.3333
18.9,15
18.92,20
18.94,26.6667
18.96,25.8333
18.98,26.6667
19,36.6667
19.02,48.3333
19.04,69.1667
19.06,75.8333
19.08,97.5
19.1,141.667
19.12,164.167
19.14,180.833
19.16,226.667
19.18,252.5
19.2,268.333
19.22,254.167
19.24,258.333
19.26,235.833
19.28,175
19.3,125.833
19.32,90
19.34,64.1667
19.36,49.1667
19.38,47.5
19.4,46.6667
19.42,49.1667
19.44,57.5
19.46,69.1667
19.48,80
19.5,87.5
19.52,115
19.54,122.5
19.56,131.667
19.58,156.667
19.6,150
19.62,148.333
19.64,134.167
19.66,110.833
19.68,98.3333
19.7,70
19.72,40
19.74,25
19.76,20.8333
19.78,19.1667
19.8,14.1667
19.82,12.5
19.84,15.8333
19.86,12.5
19.88,10
19.9,10
19.92,13.3333
19.94,14.1667
19.96,10
19.98,11.6667
20,13.3333
20.02,10.8333
20.04,10.8333
20.06,8.33333
20.08,8.33333
20.1,10
20.12,11.6667
20.14,8.33333
20.16,9.16667
20.18,10.8333
20.2,11.6667
20.22,11.6667
20.24,11.6667
20.26,13.3333
20.28,11.6667
20.3,11.6667
20.32,10.8333
20.34,11.6667
20.36,17.5
20.38,19.1667
20.4,23.3333
20.42,35
20.44,43.3333
20.46,45
20.48,46.6667
20.5,44.1667
20.52,35
20.54,34.1667
20.56,35.8333
20.58,35
20.6,27.5
20.62,18.3333
20.64,15
20.66,10
20.68,10.8333
20.7,11.6667
20.72,9.16667
20.74,9.16667
20.76,10
20.78,10
20.8,7.5
20.82,5.83333
20.84,6.66667
20.86,9.16667
20.88,6.66667
20.9,7.5
20.92,8.33333
20.94,6.66667
20.96,8.33333
20.98,13.3333
21,10.8333
21.02,7.5
21.04,10.8333
21.06,11.6667
21.08,10.8333
21.1,9.16667
21.12,12.5
21.14,12.5
21.16,12.5
21.18,12.5
21.2,9.16667
21.22,8.33333
21.24,13.3333
21.26,15
21.28,14.1667
21.3,15
