2theta,Intensity
10,5.33333
10.02,5.33333
10.04,7.33333
10.06,6
10.08,5.33333
10.1,5.33333
10.12,5.33333
10.14,6.66667
10.16,6
10.18,4.66667
10.2,4
10.22,6
10.24,6
10.26,6
10.28,8.66667
10.3,7.33333
10.32,6
10.34,7.33333
10.36,5.33333
10.38,3.33333
10.4,6
10.42,6.66667
10.44,5.33333
10.46,3.33333
10.48,4.66667
10.5,5.33333
10.52,6
10.54,6.66667
10.56,6
10.58,6
10.6,6
10.62,5.33333
10.64,6.66667
10.66,8
10.68,9.33333
10.7,7.33333
10.72,8
10.74,10
10.76,7.33333
10.78,4.66667
10.8,4.66667
10.82,7.33333
10.84,6.66667
10.86,8
10.88,9.33333
10.9,5.33333
10.92,4
10.94,6.66667
10.96,8.66667
10.98,6.66667
11,5.33333
11.02,6.66667
11.04,6
11.06,4.66667
11.08,6.66667
11.1,8
11.12,6.66667
11.14,7.33333
11.16,8.66667
11.18,8
11.2,6
11.22,7.33333
11.24,6
11.26,4.66667
11.28,5.33333
11.3,4.66667
11.32,5.33333
11.34,4.66667
11.36,4.66667
11.38,6
11.4,4
11.42,6.66667
11.44,8
11.46,5.33333
11.48,6
11.5,4.66667
11.52,4
11.54,4.66667
11.56,6
11.58,6.66667
11.6,7.33333
11.62,6
11.64,3.33333
11.66,4
11.68,7.33333
11.7,8.66667
11.72,7.33333
11.74,6
11.76,8.66667
11.78,8
11.8,5.33333
11.82,4
11.84,4.66667
11.86,6
11.88,3.33333
11.9,6.66667
11.92,8.66667
11.94,4.66667
11.96,7.33333
11.98,6
12,4.66667
12.02,5.33333
12.04,5.33333
12.06,7.33333
12.08,9.33333
12.1,10
12.12,9.33333
12.14,8
12.16,7.33333
12.18,9.33333
12.2,6
12.22,8.66667
12.24,10
12.26,10
12.28,8
12.3,7.33333
12.32,7.33333
12.34,8
12.36,8
12.38,9.33333
12.4,8.66667
12.42,8.66667
12.44,7.33333
12.46,6.66667
12.48,5.33333
12.5,6.66667
12.52,12.6667
12.54,10
12.56,8
12.58,8
12.6,8.66667
12.62,7.33333
12.64,7.33333
12.66,8.66667
12.68,10
12.7,8
12.72,10
12.74,8
12.76,8.66667
12.78,6
12.8,4.66667
12.82,6.66667
12.84,9.33333
12.86,10
12.88,8
12.9,6.66667
12.92,10
12.94,9.33333
12.96,9.33333
12.98,8.66667
13,10.6667
13.02,18
13.04,15.3333
13.06,18
13.08,24.6667
13.1,24.6667
13.12,26.6667
13.14,24
13.16,32
13.18,30.6667
13.2,35.3333
13.22,32
13.24,24
13.26,23.3333
13.28,14.6667
13.3,7.33333
13.32,7.33333
13.34,10.6667
13.36,10.6667
13.38,8.66667
13.4,5.33333
13.42,5.33333
13.44,6.66667
13.46,7.33333
13.48,6
13.5,10
13.52,9.33333
13.54,5.33333
13.56,8
13.58,10
13.6,10.6667
13.62,6.66667
13.64,11.3333
13.66,7.33333
13.68,3.33333
13.7,8
13.72,8.66667
13.74,8.66667
13.76,10
13.78,6.66667
13.8,9.33333
13.82,4.66667
13.84,7.33333
13.86,5.33333
13.88,4
13.9,4.66667
13.92,3.33333
13.94,4.66667
13.96,9.33333
13.98,10.6667
14,6.66667
14.02,6.66667
14.04,5.33333
14.06,5.33333
14.08,7.33333
14.1,4
14.12,6.66667
14.14,6.66667
14.16,8.66667
14.18,4.66667
14.2,4.66667
14.22,4.66667
14.24,5.33333
14.26,6.66667
14.28,9.33333
14.3,1.33333
14.32,8.66667
14.34,9.33333
14.36,8.66667
14.38,7.33333
14.4,3.33333
14.42,10
14.44,8.66667
14.46,3.33333
14.48,3.33333
14.5,6
14.52,5.33333
14.54,6.66667
14.56,3.33333
14.58,8
14.6,2.66667
14.62,4
14.64,8.66667
14.66,7.33333
14.68,6.66667
14.7,2
14.72,2
14.74,5.33333
14.76,8
14.78,3.33333
14.8,8.66667
14.82,7.33333
14.84,11.3333
14.86,8.66667
14.88,5.33333
14.9,6
14.92,7.33333
14.94,10
14.96,7.33333
14.98,7.33333
15,10.6667
15.02,7.33333
15.04,8.66667
15.06,6
15.08,9.33333
15.1,3.33333
15.12,5.33333
15.14,6
15.16,7.33333
15.18,6.66667
15.2,4.66667
15.22,8.66667
15.24,4.66667
15.26,8
15.28,7.33333
15.3,3.33333
15.32,4
15.34,4.66667
15.36,5.33333
15.38,5.33333
15.4,11.3333
15.42,5.33333
15.44,5.33333
15.46,9.33333
15.48,4
15.5,7.33333
15.52,6
15.54,7.33333
15.56,7.33333
