2theta,Intensity
10,7.33333
10.02,8
10.04,8
10.06,8.66667
10.08,8
10.1,7.33333
10.12,8
10.14,6.66667
10.16,6.66667
10.18,9.33333
10.2,8.66667
10.22,8
10.24,6
10.26,4.66667
10.28,5.33333
10.3,4.66667
10.32,7.33333
10.34,7.33333
10.36,4.66667
10.38,6.66667
10.4,8
10.42,10
10.44,9.33333
10.46,7.33333
10.48,5.33333
10.5,5.33333
10.52,6.66667
10.54,8.66667
10.56,8
10.58,5.33333
10.6,6
10.62,4.66667
10.64,4.66667
10.66,7.33333
10.68,6.66667
10.7,7.33333
10.72,6.66667
10.74,5.33333
10.76,8.66667
10.78,10
10.8,10.6667
10.82,9.33333
10.84,9.33333
10.86,8.66667
10.88,6
10.9,9.33333
10.92,8.66667
10.94,6.66667
10.96,6.66667
10.98,6
11,6.66667
11.02,7.33333
11.04,6
11.06,7.33333
11.08,8.66667
11.1,7.33333
11.12,7.33333
11.14,6
11.16,4.66667
11.18,5.33333
11.2,9.33333
11.22,6
11.24,4.66667
11.26,7.33333
11.28,7.33333
11.3,6.66667
11.32,6.66667
11.34,5.33333
11.36,7.33333
11.38,8
11.4,5.33333
11.42,4.66667
11.44,8
11.46,7.33333
11.48,8
11.5,7.33333
11.52,4.66667
11.54,6.66667
11.56,8
11.58,8.66667
11.6,8.66667
11.62,6.66667
11.64,6.66667
11.66,3.33333
11.68,4
11.7,6.66667
11.72,5.33333
11.74,8
11.76,8.66667
11.78,8.66667
11.8,5.33333
11.82,5.33333
11.84,7.33333
11.86,5.33333
11.88,5.33333
11.9,4.66667
11.92,6.66667
11.94,8.66667
11.96,6
11.98,5.33333
12,7.33333
12.02,7.33333
12.04,8
12.06,6
12.08,6
12.1,6.66667
12.12,6.66667
12.14,7.33333
12.16,9.33333
12.18,10.6667
12.2,9.33333
12.22,7.33333
12.24,7.33333
12.26,5.33333
12.28,4.66667
12.3,6
12.32,11.3333
12.34,10
12.36,6.66667
12.38,5.33333
12.4,10
12.42,11.3333
12.44,8.66667
12.46,8
12.48,10
12.5,8.66667
12.52,8.66667
12.54,8
12.56,9.33333
12.58,10
12.6,8.66667
12.62,8.66667
12.64,10.6667
12.66,8.66667
12.68,8.66667
12.7,14
12.72,12
12.74,10
12.76,10.6667
12.78,8.66667
12.8,10
12.82,8.66667
12.84,10
12.86,5.33333
12.88,10.6667
12.9,8.66667
12.92,10.6667
12.94,8
12.96,8.66667
12.98,8
13,13.3333
13.02,6.66667
13.04,6.66667
13.06,13.3333
13.08,16.6667
13.1,20.6667
13.12,22.6667
13.14,21.3333
13.16,22
13.18,28.6667
13.2,28
13.22,27.3333
13.24,29.3333
13.26,23.3333
13.28,25.3333
13.3,15.3333
13.32,18
13.34,14
13.36,9.33333
13.38,10.6667
13.4,9.33333
13.42,8.66667
13.44,6.66667
13.46,4.66667
13.48,6.66667
13.5,6.66667
13.52,5.33333
13.54,8
13.56,8
13.58,8.66667
13.6,7.33333
13.62,7.33333
13.64,8
13.66,10
13.68,4.66667
13.7,6
13.72,10
13.74,8
13.76,7.33333
13.78,6.66667
13.8,8.66667
13.82,6
13.84,6.66667
13.86,8.66667
13.88,4.66667
13.9,6.66667
13.92,6
13.94,5.33333
13.96,9.33333
13.98,4.66667
14,11.3333
14.02,5.33333
14.04,8
14.06,6.66667
14.08,4.66667
14.1,6
14.12,10
14.14,6.66667
14.16,6
14.18,4.66667
14.2,4.66667
14.22,6
14.24,5.33333
14.26,7.33333
14.28,4.66667
14.3,4
14.32,4.66667
14.34,5.33333
14.36,8
14.38,7.33333
14.4,6
14.42,8.66667
14.44,6.66667
14.46,2.66667
14.48,8
14.5,2
14.52,6
14.54,12
14.56,6
14.58,10.6667
14.6,9.33333
14.62,4.66667
14.64,6.66667
14.66,8.66667
14.68,6
14.7,6.66667
14.72,2
14.74,4.66667
14.76,6
14.78,8.66667
14.8,5.33333
14.82,6.66667
14.84,2.66667
14.86,5.33333
14.88,5.33333
14.9,8
14.92,6
14.94,8.66667
14.96,12.6667
14.98,3.33333
15,6.66667
15.02,11.3333
15.04,6
15.06,7.33333
15.08,5.33333
15.1,6.66667
15.12,4.66667
15.14,5.33333
15.16,6.66667
15.18,7.33333
15.2,4
15.22,6.66667
15.24,6.66667
15.26,6.66667
15.28,10
15.3,7.33333
15.32,2
15.34,6.66667
15.36,6
15.38,8
15.4,8.66667
15.42,6
15.44,4
15.46,3.33333
15.48,6.66667
15.5,7.33333
15.52,6.66667
15.54,8.66667
15.56,5.33333
15.58,10
15.6,3.33333
15.62,8
15.64,6.66667
15.66,5.33333
15.68,8
15.7,6
15.72,9.33333
15.74,6.66667
15.76,10
15.78,6
15.8,6.66667
15.82,8.66667
15.84,4.66667
15.86,7.33333
15.88,6
15.9,12
15.92,8.66667
15.94,10
15.96,12
15.98,7.33333
16,7.33333
16.02,10
16.04,16
16.06,10
16.08,12
16.1,8.66667
16.12,10
16.14,11.3333
16.16,8.66667
16.18,11.3333
16.2,9.33333
16.22,9.33333
16.24,8.66667
16.26,11.3333
16.28,12
16.3,10
16.32,13.3333
16.34,9.33333
16.36,10.6667
16.38,14
16.4,13.3333
16.42,12.6667
16.44,6.66667
16.46,11.3333
16.48,11.3333
16.5,8
16.52,13.3333
16.54,12
16.56,12
16.58,16.6667
16.6,11.3333
16.62,14
16.64,10
16.66,14.6667
16.68,14
16.7,18
16.72,26
16.74,27.3333
16.76,32
16.78,36.6667
16.8,47.3333
16.82,51.3333
16.84,59.3333
16.86,62.6667
16.88,64
16.9,64
16.92,60
16.94,55.3333
16.96,44
16.98,28
17,25.3333
17.02,18.6667
17.04,17.3333
17.06,16.6667
17.08,17.3333
17.1,18.6667
17.12,18.6667
17.14,14.6667
17.16,16
17.18,19.3333
17.2,14.6667
17.22,14
17.24,17.3333
17.26,14
17.28,16.6667
17.3,16
17.32,16
17.34,16
17.36,14.6667
17.38,17.3333
17.4,15.3333
17.42,16
17.44,17.3333
17.46,18
17.48,14.6667
17.5,18.6667
17.52,20.6667
17.54,18.6667
17.56,19.3333
17.58,20
17.6,19.3333
17.62,18
17.64,22.6667
17.66,22.6667
17.68,24.6667
17.7,28.6667
17.72,26.6667
17.74,32
17.76,31.3333
17.78,36
17.8,50
17.82,66
17.84,72.6667
17.86,82.6667
17.88,98
17.9,120
17.92,136
17.94,142.667
17.96,142
17.98,133.333
18,120
18.02,89.3333
18.04,69.3333
18.06,52.6667
18.08,38
18.1,41.3333
18.12,31.3333
18.14,20
18.16,16.6667
18.18,20
18.2,20.6667
18.22,16.6667
18.24,12.6667
18.26,17.3333
18.28,19.3333
18.3,16.6667
18.32,16.6667
18.34,14.6667
18.36,15.3333
18.38,17.3333
18.4,14.6667
18.42,13.3333
18.44,12
18.46,11.3333
18.48,13.3333
18.5,12.6667
18.52,12.6667
18.54,12.6667
18.56,12
18.58,9.33333
18.6,10
18.62,10
18.64,12.6667
18.66,11.3333
18.68,13.3333
18.7,11.3333
18.72,14
18.74,18
18.76,17.3333
18.78,19.3333
18.8,17.3333
18.82,18
18.84,23.3333
18.86,23.3333
18.88,32.6667
18.9,34
18.92,40
18.94,48
18.96,55.3333
18.98,66
19,85.3333
19.02,104.667
19.04,134
19.06,168.667
19.08,222
19.1,252
19.12,278
19.14,273.333
19.16,271.333
19.18,258
19.2,208
19.22,146
19.24,104
19.26,83.3333
19.28,57.3333
19.3,52.6667
19.32,54.6667
19.34,54
19.36,54
19.38,72
19.4,84
19.42,89.3333
19.44,109.333
19.46,126
19.48,150
19.5,168.667
19.52,186
19.54,180
19.56,160
19.58,130
19.6,90
19.62,60
19.64,44
19.66,32
19.68,29.3333
19.7,24
19.72,20
19.74,19.3333
19.76,14.6667
19.78,15.3333
19.8,16
19.82,15.3333
19.84,14.6667
19.86,16
19.88,16
19.9,16
19.92,14
19.94,16
19.96,14.6667
19.98,13.3333
20,14
20.02,12.6667
20.04,12.6667
20.06,16
20.08,18
20.1,14
20.12,12
20.14,12.6667
20.16,13.3333
20.18,14
20.2,16
20.22,20.6667
20.24,20
20.26,15.3333
20.28,16.6667
20.3,21.3333
20.32,20
20.34,22.6667
20.36,27.3333
20.38,27.3333
20.4,31.3333
20.42,38
20.44,42.6667
20.46,41.3333
20.48,38.6667
20.5,36
20.52,34
20.54,27.3333
20.56,16
20.58,16
20.6,16.6667
20.62,14
20.64,12.6667
20.66,13.3333
20.68,17.3333
20.7,15.3333
20.72,12.6667
20.74,14.6667
20.76,13.3333
20.78,10
20.8,8
20.82,8.66667
20.84,10
20.86,11.3333
20.88,12
20.9,12.6667
20.92,14
20.94,12.6667
20.96,13.3333
20.98,12
21,10.6667
21.02,11.3333
21.04,12
21.06,13.3333
21.08,12
21.1,10.6667
21.12,16.6667
21.14,16.6667
21.16,14.6667
21.18,18.6667
21.2,22
21.22,22.6667
21.24,20.6667
21.26,22
21.28,24.6667
21.3,30.6667
21.32,42
21.34,58
21.36,72
21.38,86.6667
21.4,110
21.42,128
21.44,150.667
21.46,191.333
21.48,220.667
21.5,236
21.52,239.333
21.54,216
21.56,194
21.58,170
21.6,122
21.62,75.3333
21.64,56
21.66,46.6667
21.68,32
21.7,27.3333
21.72,23.3333
21.74,20.6667
21.76,18.6667
21.78,13.3333
21.8,19.3333
21.82,19.3333
21.84,16
21.86,16
21.88,13.3333
21.9,10
21.92,9.33333
21.94,8
21.96,10
21.98,12
22,12
22.02,8
22.04,13.3333
22.06,16
22.08,12.6667
22.1,14
22.12,10.6667
22.14,12
22.16,13.3333
