2theta,Intensity
10,7.33333
10.02,6
10.04,5.33333
10.06,6.66667
10.08,7.33333
10.1,6
10.12,6
10.14,6
10.16,6
10.18,6.66667
10.2,7.33333
10.22,6.66667
10.24,7.33333
10.26,6
10.28,6
10.3,6
10.32,5.33333
10.34,7.33333
10.36,6.66667
10.38,6
10.4,6.66667
10.42,6.66667
10.44,6
10.46,5.33333
10.48,6
10.5,7.33333
10.52,9.33333
10.54,8
10.56,6.66667
10.58,6
10.6,6
10.62,9.33333
10.64,6.66667
10.66,4.66667
10.68,7.33333
10.7,7.33333
10.72,6
10.74,6
10.76,6
10.78,6.66667
10.8,6
10.82,8
10.84,7.33333
10.86,6.66667
10.88,8.66667
10.9,9.33333
10.92,6.66667
10.94,5.33333
10.96,7.33333
10.98,7.33333
11,6.66667
11.02,9.33333
11.04,8
11.06,6.66667
11.08,8
11.1,5.33333
11.12,6
11.14,7.33333
11.16,8
11.18,8.66667
11.2,6
11.22,4
11.24,3.33333
11.26,4
11.28,6
11.3,6.66667
11.32,6.66667
11.34,8
11.36,7.33333
11.38,4.66667
11.4,4.66667
11.42,5.33333
11.44,5.33333
11.46,7.33333
11.48,6
11.5,6
11.52,6
11.54,4.66667
11.56,5.33333
11.58,4
11.6,4.66667
11.62,8
11.64,8
11.66,4.66667
11.68,5.33333
11.7,5.33333
11.72,6
11.74,5.33333
11.76,5.33333
11.78,8
11.8,8.66667
11.82,6
11.84,6.66667
11.86,6.66667
11.88,6.66667
11.9,6.66667
11.92,8.66667
11.94,10
11.96,10
11.98,8
12,8
12.02,9.33333
12.04,10
12.06,6.66667
12.08,4.66667
12.1,6
12.12,7.33333
12.14,8
12.16,9.33333
12.18,10.6667
12.2,8.66667
12.22,9.33333
12.24,12
12.26,13.3333
12.28,10
12.3,11.3333
12.32,9.33333
12.34,6
12.36,10
12.38,12.6667
12.4,10.6667
12.42,10
12.44,10
12.46,10
12.48,10.6667
12.5,6.66667
12.52,7.33333
12.54,7.33333
12.56,6
12.58,10.6667
12.6,8.66667
12.62,6
12.64,8
12.66,6.66667
12.68,8.66667
12.7,7.33333
12.72,8
12.74,5.33333
12.76,6.66667
12.78,8.66667
12.8,4.66667
12.82,9.33333
12.84,8
12.86,10.6667
12.88,8.66667
12.9,10.6667
12.92,7.33333
12.94,6.66667
12.96,6.66667
12.98,8
13,9.33333
13.02,10
13.04,13.3333
13.06,9.33333
13.08,8.66667
13.1,10.6667
13.12,12
13.14,10
13.16,8
13.18,11.3333
13.2,8
13.22,6.66667
13.24,7.33333
13.26,8
13.28,6.66667
13.3,6
13.32,4.66667
13.34,10
13.36,5.33333
13.38,4.66667
13.4,6
13.42,8.66667
13.44,6.66667
13.46,6.66667
13.48,10.6667
13.5,9.33333
13.52,7.33333
13.54,8.66667
13.56,8.66667
13.58,6
13.6,8
13.62,5.33333
13.64,3.33333
13.66,7.33333
